08:13:36 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:35:41 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:38:35 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:39:25 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:39:54 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:40:50 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:41:07 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:41:44 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:42:03 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:42:29 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:43:13 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:43:17 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:56:56 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:57:45 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:58:12 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
10:58:14 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
10:59:51 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:00:16 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:02:34 [LoginInfo] Error account not exist (Account: TEST, Password: test, IpAddress: 192.168.1.105)
11:02:37 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:02:54 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
11:03:05 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
11:03:08 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:03:37 [AccountInfo] Account connected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:04:18 [AccountInfo] Account connected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
11:04:57 [AccountInfo] Account disconnected (Account: test, IpAddress: 192.168.1.105, GameServerCode: 0)
11:04:59 [AccountInfo] Account disconnected (Account: admin, IpAddress: 192.168.1.105, GameServerCode: 0)
